Formula,pbe_band_gap,url
C2F6O6S2Zn1, 6.07 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b4d
Cl2Mg1, 5.99 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b9a
Ca1Cl2, 5.80 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b78
Al2Cl2O2, 5.79 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e55
Cl2Sr1, 5.76 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bb7
Ba1Cl2, 5.61 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a59
Al2Cl6, 5.53 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a19
Cl2Er2O2, 5.32 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f18
Cl6Y2, 5.13 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bff
Ba2Br2Cl2, 5.09 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e75
Cl2Zn1, 5.05 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bc6
Br2Ca1, 5.02 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a7e
Br2Sr1, 5.00 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418ab7
Cl2Sr1, 4.96 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418bb8
Ba1Br2, 4.96 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a57
Hf1O2, 4.90 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c91
Cl2Mg1, 4.80 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b9b
Cl2O2Sc2, 4.79 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f5c
Ca1Cl2, 4.78 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b79
Br2Mg1, 4.77 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a99
B1Cl3, 4.75 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a52
