Formula,hse,PBE/$σ_{max}^{GSv}$,(PBE+$σ_{min}^{EN}$)-($σ_{max}^{RCORE}$-PBE),$PBE^{5/6}$,PBE*$σ_{max}^{RCOV}$/($σ_{max}^{GSv}$+$σ_{max}^{RCOV}$)
Ca1Cl2,7.413641999999999,6.233268692,11.553333,4.327030881000001,4.67677225
Al2Cl2O2,7.308257000000001,6.436812809,11.858889,4.320812988,4.815134307
Cl2Sr1,7.084098,6.14608898,11.465,4.302148557,4.550362063
Ba1Cl2,6.889206,5.9280382970000005,11.155,4.208581267,4.329480588
Al2Cl6,7.05196,5.947237812999999,11.02125,4.158508652,4.4590604560000004
Cl6Y2,6.6100449999999995,5.50344627,10.1725,3.9062899019999997,4.136524437
Ba2Br2Cl2,6.268366,5.277036245,10.025556,3.880891358,3.9281740089999997
Cl2Zn1,6.279138,5.46074078,10.161666,3.855459527,4.072017217
Br2Ca1,6.4888330000000005,5.314592864,9.793333,3.836363623,4.029970578
Ba1Br2,6.125558,5.225588925,9.655,3.798114593,3.9210777560000003
Cl2Sr1,6.237126,5.29246551,9.865,3.798114593,3.918367332
Hf1O2,6.579644999999999,5.802747527,10.15,3.759788369,4.348377279
Cl2Mg1,6.10961,5.173752513999999,9.605,3.695736772,3.870432207
Cl2O2Sc2,5.928577,5.308806441000001,9.464444,3.689319448,4.186686229
Ca1Cl2,6.24411,5.137073163,9.513333,3.68289989,3.8543054060000004
Br2Mg1,5.976929,5.062461843,9.345,3.676478093,3.829274832
B1Cl3,6.308113,5.122282886,9.515,3.663627762,3.83011522
Ba1Cl2,6.016648,5.00871685,9.415,3.657199217,3.658063812
B1N1,5.701716,5.449729157999999,9.72,3.599239895,3.954692147
O2Zr1,6.104867,5.178702083,9.155,3.437245592,3.885062669
Br2Sr1,5.504455999999999,4.635178091,8.505,3.424220782,3.516189469
I2Sr1,5.395657,4.48778856,8.171667,3.3916152569999998,3.306705485
Cl6Sc2,5.443229,4.627858285,8.55,3.3785555069999997,3.4753255989999996
H2O6P2Zr1,6.050288,4.870872042,8.409773,3.3524056389999997,3.752346681
Cl2Ga2O2,5.711169,4.747486266,8.587777,3.345861805,3.547637361
Br2Ca1,5.485206,4.457058956,8.173333,3.313104084,3.3797163610000003
Ba1Br2,5.325743,4.424893848,8.135,3.30654478,3.320267455
Ba1I2,5.1889330000000005,4.28942113,7.781667,3.267134028,3.1616075539999997
Cl6Ga2,5.600344000000001,4.447227608,8.24625,3.2605563460000004,3.3301843910000004
Al2Br2O2,5.486307,4.482242185,8.41,3.24739301,3.3048245339999998
As2Cl6,5.229936,4.38207096,8.1525,3.2144378110000003,3.2737405880000003
Al2Br6,5.285419,4.290188263,7.83625,3.207838677,3.2512710730000003
As2Cl6,5.19906,4.360484403,8.1125,3.201236826,3.257613787
Br2O2Y2,5.089185,4.357058686,7.993334,3.201236826,3.4519821139999998
Cd1Cl2,5.307091000000001,4.3377895639999995,8.088333,3.1814148980000003,3.233423573
Cl6Dy2,5.311637999999999,4.237546348,7.8125,3.1416966310000003,3.1850431830000003
Ca1I2,5.135662,4.063986934,7.36,3.121799853,2.993599423
Cl6Sb2,5.031776,4.21671361,7.83625,3.1151619619999997,3.1527895810000004
As2Cl6,5.023137999999999,4.166205395,7.7525,3.081929883,3.112472579
Al2Cl6,5.262782,4.151236521,7.68125,3.081929883,3.112472579
Cl6In2,5.252741,4.155700922,7.7025,3.081929883,3.112472579
Cl2Zn1,5.046061,4.152325663,7.741666,3.068617002,3.096345765
Br2O2Sc2,4.774755,4.155178554,7.502222,3.0552925589999997,3.2554641930000003
Cl6Sb2,4.916647,4.119653706,7.65625,3.0552925589999997,3.080218977
B1Br3,5.14001,4.013364993,7.35,3.028608707,3.034519668
Br2Zn1,4.859301,4.012019233999999,7.401667,3.021930406,3.026491848
Br2Mg1,4.8638699999999995,3.9799228330000003,7.305,3.008564937,3.0104361889999995
C1H2Si1,4.758293,4.245445205,7.6075,2.981798267,3.133064516
I2Sr1,4.707726,3.8348308710000003,6.911667,2.975099101,2.825591292
Cl6Sc2,4.701744000000001,3.9513964010000002,7.29,2.9616917039999997,2.96733137
I2Mg1,4.697951,3.780260373,6.851667,2.9348403839999997,2.7797708930000002
Ge1O2,5.388883,4.271723724,7.628334,2.894470908,3.0486758689999998
Cl6Fe1Hf1,4.232283,3.717339248,6.575417,2.8674953239999996,2.8544437639999996
Ba1I2,4.489657,3.657404974,6.561667,2.8607435089999997,2.695766827
Cl2Pb1,4.468724,3.8198429060000003,7.195,2.847230302,2.830253551
Br6Y2,4.743602,3.689281999,6.6675,2.8337042560000003,2.8017126039999996
Cl4Hg2,4.894481,3.7646260469999997,7.06,2.820165285,2.797999949
Bi2Cl6,4.298788,3.6336663610000004,6.7525,2.752273471,2.717365956
Br2Cd1,4.4374839999999995,3.523611718,6.488333,2.711377544,2.6572116759999997
Ca1I2,4.389752,3.4315808039999998,6.14,2.711377544,2.527758696
H2Mg1O2,4.806524,3.9050237880000003,6.831333,2.704549596,2.8390993960000004
As2Br6,4.331326,3.5063432839999997,6.4075,2.704549596,2.649183837
O2Ti1,4.101214,4.025996526,6.93,2.684045007,2.9358621830000002
As2Br6,4.2615050000000005,3.442591588,6.2875,2.66350904,2.601016858
Bi2Cl6,4.184514,3.461148076,6.4325,2.6429413580000003,2.5883515480000003
Cd1Cl2,4.429448000000001,3.429125416,6.408333,2.615467845,2.556097936
C16Cl8Ge2H48N4,4.167701,3.522737878,6.104769,2.6017094519999997,2.596038838
I6Y2,4.1931080000000005,3.251929947,5.705,2.5948248,2.3979342359999998
C16Cl4Ge2H48I4N4,3.9642809999999997,3.413406081,5.940214,2.574148857,2.563073266
O2Sn1,4.676701,3.5116568089999998,6.66,2.567249501,2.501088309
C2F2,4.882045,4.129284059,7.0525,2.560346436,2.7400169180000002
Cl2Pb1,4.080007,3.3410022000000006,6.315,2.546529117,2.475463932
Br6Sm2,4.063826000000001,3.212727273,5.76125,2.525774958,2.4404602619999998
Br6Sc2,3.9523980000000005,3.1736770689999996,5.705,2.498049533,2.408348943
Bi2Br6,3.80957,3.1742548619999997,5.7675,2.491108576,2.400321113
Cl2Ge1,3.8666980000000004,3.2224756969999997,6.061666000000001,2.477215038,2.394829928
I2Mg1,3.8667059999999998,3.074057885,5.491667,2.470262426,2.260473034
Br6In2,4.104507,3.117184532,5.6375,2.456345438,2.360181964
Cl6In2,4.31006,3.165222982,5.8625,2.456345438,2.3706397359999998
Br2Dy2S2,3.944515,3.1413401380000003,5.677778,2.449381032,2.51997851
Cl4Ge2,3.89495,3.1682252639999997,5.961666,2.4424126630000003,2.354512926
Al1N1,4.09998,3.320543083,6.0325,2.435440315,2.5611725340000002
Al1N1,4.099623,3.3091322819999998,6.0125,2.428463973,2.552371254
Cl4Sn2,3.7880550000000004,3.134200424,5.893333,2.42148362,2.330322724
Cl2V1,3.606075,3.1136564910000004,5.818333,2.414499241,2.322259324
Al2H2O4,4.209486,3.431601474,5.870833,2.407510818,2.522069103
Br2Ga2O2,4.163404,3.1254974389999997,5.765555,2.4005183359999998,2.303406379
Br6Ga2,4.0777410000000005,3.0328482589999997,5.48125,2.4005183359999998,2.2959593259999997
Br2Zn1,3.848404,3.001032955,5.501666999999999,2.37250748,2.263848014
Dy2I2S2,3.750079,2.940168205,5.3844449999999995,2.358477258,2.287513573
Se1Yb1,3.7023230000000003,2.90353898,5.0525,2.323328277,2.325660275
Br2Pb1,3.6480900000000003,2.942397391,5.475,2.323328277,2.207653205
O6Sb2Tl2,3.797015,3.144864952,5.500667,2.3162857519999998,2.363303711
Bi2Br6,3.5504839999999995,2.9088489369999997,5.2675,2.3162857519999998,2.199625368
Cl2In2O2,4.123176,3.041288883,5.357778,2.309238941,2.32832326
Br2V1,3.1251990000000003,2.9047921889999997,5.318333,2.309238941,2.191597545
B1I3,3.86274,2.815212135,4.9475,2.2951323919999997,2.069554707
Cl6Ga2,4.058527,2.918156615,5.40625,2.2951323919999997,2.185181525
Bi2Cl2O2,3.685662,2.946319738,5.377778,2.2951323919999997,2.216523911
I6Y2,3.676829,2.7444631719999997,4.725,2.252707967,2.0237343080000003
Br2Ge1,3.472087,2.8282098510000004,5.221667,2.252707967,2.127374907
Cl6Ir2,3.559311,2.8497846719999997,5.315,2.245621749,2.128737722
I6Sc2,3.3598209999999997,2.7251768760000004,4.7025,2.238531055,2.0084608409999998
I2S2Sm2,3.564746,2.760638887,5.038889,2.238531055,2.160612419
Cl2Ge1,3.6212230000000005,2.853572755,5.381666,2.238531055,2.1206743130000003
Cl6Ti2,2.80726,2.827180665,5.2125,2.238531055,2.1206743219999997
H2Mg3O4,3.854574,2.900936797,5.382592,2.231435867,2.254072854
O18Te8,3.723779,2.9793891739999996,5.681538,2.224336164,2.1149075219999998
Cl6Ti2,2.763345,2.8056811919999998,5.1725,2.224336164,2.1045475209999998
Br2Cd1,3.6412690000000003,2.7465009769999997,5.028333,2.2030097619999998,2.071180098
Al2Br6,3.69757,2.73300882,4.89625,2.2030097619999998,2.071180091
As2Br6,3.345451,2.741322931,4.9675,2.2030097619999998,2.071180091
I2V1,2.9283900000000003,2.673809686,4.765,2.1958917959999997,1.9626404380000002
H2Mg5O6,3.7619839999999996,2.806453477,5.180769000000001,2.1958917959999997,2.2110562000000002
Bi2I6,3.274315,2.659190205,4.645,2.188769212,1.9550037080000002
Br2Sn1,3.3326260000000003,2.7097353739999996,4.993333,2.1745101069999997,2.039068779
Cl4Mn2,3.899488,2.743998415,5.125,2.1745101069999997,2.0481037090000003
Ga1N1,3.8172,2.866633965,4.9925,2.1745101069999997,2.199953854
I2Ti1,2.6784310000000002,2.620471898,4.65,2.160232276,1.9244567719999999
Cl6Cr2,3.523239,2.700233017,4.9875,2.153086285,2.023913516
Br6Sb2,3.2179029999999997,2.665101199,4.81125,2.153086285,2.014985282
Ge1S1,3.363894,2.7116069310000004,4.9775,2.138780041,2.0495672330000003
Cl2S2Sc2,3.256522,2.718527141,4.768889,2.138780041,2.162044827
Cl2F2,4.415681,2.841408307,5.795,2.131619743,1.999723315
As8S6,3.3852580000000003,2.677322372,4.875714,2.1101098769999997,2.065167335
Ga2S2,3.4045690000000004,2.647694814,4.6775,2.1029301869999997,2.014251956
Cl2Hg1,3.654753,2.647172206,5.0,2.1029301869999997,1.967469705
Cl2Os1,2.918364,2.64128278,5.013333,2.095745592,1.959406305
Br4C16Ge2H48I4N4,3.1888799999999997,2.6660457230000003,4.578504,2.095745592,2.002658532
Al2I6,3.363579,2.509921345,4.31375,2.088556067,1.848089443
Ag1P2S6Sc1,3.1614880000000003,2.5001484119999997,4.25875,2.081361589,1.934827176
Bi2Br2O2,3.3314790000000003,2.615282855,4.7555559999999995,2.081361589,1.97115226
Ga2S2,3.296704,2.604289981,4.5975,2.0741621340000003,1.981231432
Br2In2O2,3.551622,2.621981024,4.675555999999999,2.0741621340000003,1.987403765
I6Sc2,3.181282,2.476491534,4.2225,2.066957677,1.8251792430000002
Bi2I6,3.190741,2.482603355,4.305,2.066957677,1.8251792430000002
Cl6Rh2,3.339496,2.570419431,4.805,2.059748195,1.91908931
Cl6Tl2,3.498379,2.5597326259999997,4.7225,2.059748195,1.91908931
Er2I2Se2,3.266683,2.488458735,4.59,2.052533662,1.930607943
Br2Ge1,3.1706380000000003,2.497362661,4.601667,2.030859511,1.878512182
Al2Cl2S2,3.313052,2.562322493,4.863334,2.030859511,1.928919051
Ag2Bi2O4,3.240909,2.5408922609999998,4.7225,1.99463255,1.8730035919999999
Br2Mn1,3.562445,2.4244335169999998,4.405,1.987371416,1.830345203
Br6Ir2,3.096117,2.422822252,4.37,1.987371416,1.830345197
Al2Br2S2,3.224416,2.453519792,4.634444,1.980104972,1.825292383
Br6Ti2,2.666805,2.38254749,4.2275,1.965556046,1.8062617069999998
As2I6,2.8954009999999997,2.3281800919999998,4.025,1.9582735080000002,1.710628245
H2Ni1O2,3.15342,2.78083084,4.751333,1.9582735080000002,1.9684441780000002
Al2I2O2,3.3062989999999997,2.363234973,4.55,1.950985549,1.7029915180000001
O2Pt1,3.3964760000000003,2.765837573,4.933333999999999,1.936393256,1.949030541
