Formula target PBE cell_range_Electronegativity cell_mean_Electronegativity cell_mean_MeltingT cell_mean_GSvolume_pa cell_range_Number cell_Max_Electronegativity cell_Max_CovalentRadius cell_Max_GSvolume_pa cell_reduce_MeltingT
Cl2Hf2N2 3.3555410000000006 2.33 0.62 0.833333 304.516667 6.829583 21.666667 1.053333 58.333332999999996 8.165833000000001 15.09185
O1Pb1 2.708543 1.65 0.555 1.4425 163.8525 9.30375 37.0 1.72 73.0 14.055 25.109037
Ca2Si2 0.130924 0.01 0.45 0.725 700.5 14.5525 3.0 0.95 88.0 18.885 335.653997
Al2I6 1.944867 1.15 1.5925 1.19875 261.7525 18.190625 36.5 1.995 104.25 32.26125 129.337185
C1H2O2Y2 0.8945790000000001 0.47 0.634286 0.581071 269.950714 3.636071 10.857142999999999 0.982857 54.285714 9.247143 3.149936
Cl2Ni1 2.657432 1.72 1.47 1.371667 345.2 9.885833 2.0 2.106667 68.0 16.331667000000003 95.44380100000001
Bi2I2S2 2.847791 2.05 0.213333 0.806667 146.623333 11.305764 22.333333 0.886667 49.333333 14.338332999999999 47.640851
Cl2N2Ti2 1.636671 1.27 0.54 0.86 241.738889 6.217361 5.0 1.053333 53.333332999999996 8.165833000000001 15.012897
Br2Hg1 3.057297 2.03 1.306667 1.32 127.653333 14.032931 3.333333 1.9733330000000002 80.0 19.653333 54.21128100000001
Al2O2 2.138341 1.3 0.915 1.2625 247.0675 6.39625 2.5 1.72 60.5 8.24 25.880658
Cl6V2 1.533272 1.33 1.9625 1.38875 337.225 10.812813 7.0 2.37 76.5 18.373125 104.141189
Cl2Pt1 1.361243 0.86 1.346667 1.433333 397.433333 10.669167 14.666667000000002 2.106667 68.0 16.331667000000003 97.935151
Br2Ho2O2 5.023899 3.73 0.736667 0.847778 229.73333300000002 7.702037 19.666667 1.146667 64.0 10.244444 14.760488
Ag1P2S6Sc1 3.1614880000000003 2.41 1.412 0.57875 150.34225 5.960668 7.5 1.548 63.0 15.472125 29.709019
Bi2Te3 0.731536 0.23 0.452 1.034 325.678 17.019000000000002 2.0 1.26 82.8 20.858 144.958924
Te2Zr1 1.003659 0.4 0.956667 0.921667 595.553333 15.453610999999999 21.333333 1.4 92.0 23.175556 286.907877
Br2Co2S2 1.160872 0.38 0.36 0.8244440000000001 269.128889 7.279097 6.3333330000000005 0.986667 42.0 9.826667 48.289803000000006
Ge1O2 2.888377 1.38 1.623333 1.481667 220.166667 6.869167 5.3333330000000005 2.293333 44.0 7.6683330000000005 33.502256
As2S6Sn1Tl2 2.5043279999999997 1.73 1.229091 0.569091 140.21 6.5040059999999995 10.181818 1.407273 57.272727 14.065567999999999 24.344306
Al2Cl2S2 3.313052 2.34 0.516667 0.816667 165.936667 7.418264 1.333333 1.053333 40.333333 8.595625 35.185097
Al2S2 2.968552 2.1 0.485 1.0475 330.4575 10.566719 1.5 1.29 60.5 12.893436999999999 137.128984
Br2O2Sc2 4.774755 3.82 0.693333 0.8622219999999999 237.177778 6.757778 9.0 1.146667 56.666667000000004 9.826667 14.774320000000001
C2O2Zr3 0.9460209999999999 0.38 0.412857 0.760476 673.314286 4.717857 15.428571 0.982857 75.0 9.940714 15.178972
Br2Pb1 3.6480900000000003 2.75 1.196667 1.375 188.701667 14.511667000000001 4.0 1.9733330000000002 80.0 19.653333 94.000311
Bi2F2O2 4.699902 3.45 0.6533329999999999 1.048889 72.522222 5.751389 25.0 1.326667 49.333333 10.983333 8.596239
O2Sn1 4.676701 3.1 1.64 1.473333 102.446667 8.5825 11.333333 2.293333 46.333333 11.095 30.019288
Pb1Se2 0.58433 0.13 0.923333 1.238333 264.768333 13.325 4.6666669999999995 1.7 80.0 17.28 124.511928
S1Se1Ti1 1.5608899999999999 1.03 0.346667 0.741111 313.706667 7.599653 6.0 0.86 53.333332999999996 8.64 65.17519300000001
Br6W2 0.505352 0.07 1.63 1.405 561.55 13.06125 7.75 2.22 90.0 22.11 163.965419
Br6Sm2 4.063826000000001 3.04 1.9275 1.25625 267.8 15.20875 10.75 2.22 90.0 22.11 125.152049
Br6Sc2 4.470562 3.54 1.88 1.28 326.425 13.834375 21.0 2.22 90.0 22.11 138.47779
B1Br3 5.14001 3.78 1.71 1.365 393.175 11.951563 25.0 2.22 90.0 22.11 148.81217
Ga2S2 3.4045690000000004 2.44 0.385 1.0975 172.8175 11.161094 7.5 1.29 61.0 12.893436999999999 85.088408
Cl2In2S2 2.802304 1.85 0.46 0.835556 109.96777800000001 8.282708 11.0 1.053333 47.333333 8.595625 31.067371
Br4Pt2 0.9627049999999999 0.24 1.213333 1.366667 428.833333 12.33 2.666667 1.9733330000000002 80.0 19.653333 140.589227
