Formula target PBE cell_range_Electronegativity cell_mean_Electronegativity cell_mean_MeltingT cell_mean_GSvolume_pa cell_range_Number cell_Max_Electronegativity cell_Max_CovalentRadius cell_Max_GSvolume_pa cell_reduce_MeltingT
S1Se1Ti1 1.5608899999999999 1.03 0.346667 0.741111 313.706667 7.599653 6.0 0.86 53.333332999999996 8.64 65.17519300000001
Cl6Rh2 3.339496 2.38 1.8 1.47 343.975 10.891562 1.5 2.37 76.5 18.373125 104.62311899999999
Al1P1S4 4.011866 2.73 1.451667 0.7844439999999999 155.789444 7.8998740000000005 8.5 1.72 70.0 17.19125 34.247073
Bi2I2S2 2.3130189999999997 1.67 0.213333 0.806667 146.623333 11.305764 22.333333 0.886667 49.333333 14.338332999999999 47.640851
Er2I2Se2 3.266683 2.37 0.473333 0.716667 294.53888900000004 11.057777999999999 11.333333 0.886667 63.0 14.338332999999999 64.421643
Pb1S2 1.3259530000000002 0.71 0.943333 1.248333 229.555 13.280625 16.666667 1.72 70.0 17.19125 112.900999
Br2Pb1 3.6480900000000003 2.75 1.196667 1.375 188.701667 14.511667000000001 4.0 1.9733330000000002 80.0 19.653333 94.000311
Cl2Mo2Se2 2.1263389999999998 1.05 0.333333 0.874444 395.733333 7.3452779999999995 8.333333 1.053333 51.333333 8.64 40.664782
Br2Ca1 6.4888330000000005 5.02 1.64 1.153333 274.433333 16.121667000000002 16.666667 1.9733330000000002 80.0 19.653333 119.99149799999999
Se2Ti2 0.571859 0.09 0.505 1.0225 608.75 10.6525 6.0 1.275 80.0 12.96 196.889938
Cl2S2V2 0.868985 0.46 0.51 0.818889 304.773333 7.032708 2.333333 1.053333 51.0 8.595625 37.620058
Cl2Rh2S2 1.3871799999999999 0.5 0.293333 0.8911110000000001 310.773333 7.102708 9.666667 1.053333 47.333333 8.595625 37.667066999999996
Sb2Te3 1.18513 0.66 0.44 1.04 397.55400000000003 16.741 10.8 1.26 82.8 20.858 197.143227
I6Sb2 3.208984 2.43 1.4825 1.25375 258.04125 20.075625 27.0 1.995 104.25 32.26125 127.024492
Cl6Co2 1.54203 0.44 1.9 1.42 285.35 10.467188 6.0 2.37 76.5 18.373125 99.676538
Al2Cl6 7.05196 5.53 1.9675 1.38625 181.03375 11.246563 9.5 2.37 76.5 18.373125 82.952481
Ge1Te1 2.454069 1.76 0.045 1.0275 483.515 14.442082999999998 10.0 1.05 69.0 17.381667 226.319329
Cl2Mo1 0.790768 0.01 1.386667 1.413333 539.866667 10.780833 2.666667 2.106667 68.0 16.331667000000003 102.279081
Bi2Br2S2 2.5373799999999997 1.74 0.313333 0.84 133.173333 9.801875 22.333333 0.986667 49.333333 10.983333 40.779497
Cl6Fe1Hf1 4.232283 3.54 2.2075 0.920417 222.775 7.4964580000000005 9.5 2.37 76.5 18.373125 65.020372
Ga2Se2 2.565473 1.73 0.37 1.09 199.2275 11.194375 1.5 1.275 61.0 12.96 93.886098
B1N1 5.701716 4.65 0.5 1.27 602.7625 5.485313 1.0 1.52 42.0 7.384375 30.700608000000003
Ge2H2 1.7476040000000002 1.02 0.095 1.0525 306.3525 7.405 15.5 1.1 60.0 11.5025 6.924912
Cl2Pt1 1.361243 0.86 1.346667 1.433333 397.433333 10.669167 14.666667000000002 2.106667 68.0 16.331667000000003 97.935151
P2Si2 2.542348 1.76 0.145 1.0225 501.075 10.75256 0.5 1.095 55.5 11.285119 133.534177
In2Te2 1.8824439999999998 1.25 0.16 0.97 288.1025 14.755832999999999 1.5 1.05 71.0 17.381667 134.745071
